,im_paths,id_str,ra,dec,petro_theta,est_petro_th50,petro_th50,petro_th90,gini,category,hec_path,m20
91,E:/GZ-DESI/images/major-dist\105379_2294-cutout.fits,105379_2294,86.42132406914136,-43.0189272484643,,2.2900377218613315,,,0.4561700730944007,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105379_2294-cutout.fits,-1.8206137125705835
92,E:/GZ-DESI/images/major-dist\105380_2301-cutout.fits,105380_2301,86.78900678848201,-43.00678991735908,,2.729596568444172,,,0.4643036859466958,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105380_2301-cutout.fits,-1.8178785635246302
93,E:/GZ-DESI/images/major-dist\105388_28-cutout.fits,105388_28,89.52322595262733,-43.11527201707604,,10.358671098251891,,,0.7932616504130146,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105388_28-cutout.fits,-1.537857715682509
94,E:/GZ-DESI/images/major-dist\105388_34-cutout.fits,105388_34,89.52496012257389,-43.120382059882004,,2.871871697322489,,,0.4930959525790542,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105388_34-cutout.fits,-1.829047973833404
95,E:/GZ-DESI/images/major-dist\105399_2183-cutout.fits,105399_2183,93.14514508049356,-43.03480766165401,,6.614898898114138,,,0.4797341793015784,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105399_2183-cutout.fits,-1.9849081777008966
96,E:/GZ-DESI/images/major-dist\106060_6908-cutout.fits,106060_6908,318.71201187434735,-42.89427396830661,,2.315903528383913,,,0.3629409217410442,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/106060_6908-cutout.fits,-1.1592071305282357
97,E:/GZ-DESI/images/major-dist\106061_2598-cutout.fits,106061_2598,319.087188549973,-43.032127292592726,,3.926712467431132,,,0.4772933478668105,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/106061_2598-cutout.fits,-2.136165507739304
98,E:/GZ-DESI/images/major-dist\106105_506-cutout.fits,106105_506,333.8104049036953,-43.1106573085586,,2.691624555537917,,,0.4996592836113942,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/106105_506-cutout.fits,-1.6880784001825802
99,E:/GZ-DESI/images/major-dist\106107_953-cutout.fits,106107_953,334.7408660441182,-43.08747192392743,,3.4972317769732717,,,0.41184723121448324,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/106107_953-cutout.fits,-2.0396065561991477
100,E:/GZ-DESI/images/major-dist\106118_5896-cutout.fits,106118_5896,338.18672789092875,-42.90568666692317,,2.453297801674525,,,0.27852410200799427,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/106118_5896-cutout.fits,-1.5233062227641714
